Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Demagouge,"Demagogues are the most popular Agitators, public speakers so gifted that they can move countries with their persuasive words. They are always counted among the leaders of whatever cause they choose to champion. Those in power view Demagogues with a great deal of suspicion, as they are far too capable of stirring up dissent or sowing mistrust against the government or the church. If they can be properly directed however, they’re also very useful for rallying the people against Chaos and other threats. Thus the authorities treat popular Demagogues with caution and sometimes even favour.","10,10,0,10,15,20,15,30","1,4,0,0,0,0,0,0","Academic Knowledge (History), Academic Knowledge (Law), Blather, Charm, Command, Common Knowledge (the Empire), Concealment, Disguise, Dodge Blow, Gossip, Intimidate, Perception, Speak Language (Reikspiel)","Etiquette or Streetwise, Master Orator, Public Speaking, Street Fighting","Agitator, Anointed Priest, Artisan, Charlatan, Crime Lord, Flagellant, Friar, Initiate, Minstrel, Outlaw, Outlaw Chief, Politician, Rogue, Vampire Hunter, Witch Hunter","Crime Lord, Friar, Mercenary, Outlaw Chief, Politician"
Duelist,"A complex legal system of formal duels was established throughout the Empire ages ago. Duellists are specialists in the lethal application of sword and pistol, hiring themselves out to safeguard the honour of others, though many of their kind come from the ranks of younger Nobles who duel for their own purposes. Duellists come in two varieties: happy-go-lucky devil-may-care swashbucklers who regard their exploits as a continuous adventure, and deadly serious fighters who wear their honour on their sleeves and are very quick to take offence at slights, imagined or otherwise.","20,20,10,20,20,15,15,10","1,4,0,0,0,0,0,0","Charm, Dodge Blow, Gamble, Gossip, Intimidate, Perception, Sleight of Hand","Ambidextrous or Disarm, Etiquette, Master Gunner, Mighty Shot, Quick Draw, Sharpshooter, Specialist Weapon Group (Fencing), Specialist Weapon Group (Gunpowder), Specialist Weapon Group (Parrying), Strike Mighty Blow, Strike to Injure, Swashbuckler","Courtier, Estalian Diestro, Highwayman, Pistolier, Protagonist, Sergeant, Targeteer","Assassin, Champion, Highwayman, Rogue, Sergeant"
Engineer,"It was the Dwarfs who first introduced the science of engineering to the Old World. Among them, the Engineers’ Guild is deeply respected and its works are held in high esteem, so long as it upholds traditional methods and values. Humanity took what the Dwarfs had to offer and ran with it, especially in regards to gunpowder and other devices suitable for use as weapons. The Imperial School of Engineers in Altdorf is famed for its bizarre inventions, which can be most useful if they manage to function correctly. Outside the Empire, Tileans are particularly famed for their bold engineering ideas.","10,15,5,5,10,20,10,0","0,4,0,0,0,0,0,0","cademic Knowledge (Engineering), Academic Knowledge (Science), Common Knowledge (Dwarfs or Tilea), Drive or Ride, Perception, Read/Write, Speak Language (Khazalid or Tilean), Trade (Gunsmith)","Master Gunner, Specialist Weapon Group (Engineer or Gunpowder)","Artisan, Miner, Student, Tradesman","Artisan, Explorer, Guild Master, Pistolier, Smuggler"
Explorer,"Explorers are afflicted by wanderlust and travel extensively across the Old World and beyond. They channel their great need to know what lies beyond the next horizon into finding new lands and new opportunities for trade. Explorers regularly delve into the unknown, which either turns them into canny fighters and diplomats or makes them very short-lived. They are skilled in travelling by both land and sea. Explorers tend to be highly capable individuals. The variety of roles they are called upon to assume forces them to become very flexible, able to command troops or negotiate in tongues they barely understand.","20,20,10,15,15,25,20,15","1,6,0,0,0,0,0,0","Academic Knowledge (History or Law), Command, Common Knowledge (any three), Drive, Evaluate, Follow Trail, Navigation, Outdoor Survival, Perception, Read/Write, Ride, Scale Sheer Surface, Secret Language (Ranger Tongue), Secret Signs (Scout), Speak Language (any three), Swim, Trade (Cartographer)","Orientation or Linguistics, Seasoned Traveller","Captain, Engineer, Herald, Master Thief, Master Wizard, Mate, Navigator, Scholar, Scout, Sea Captain, Spy, Wizard Lord","Captain, Merchant, Sea Captain, Spy"
Fence,"The majority of Burghers and Tradesmen are willing to deal in goods of questionable legality. Such merchandise is the stock and trade of the Fence. They are experts at liquidating stolen goods. For a percentage of the profit, they take a thief ’s bounty and move it to another town, city, or even country where it can be more safely disposed of. Fences are experts at evaluating the worth of any given item and therefore exactly how hot it is likely to be. The greater the risk, the greater the cut they demand.","15,10,10,5,10,5,10,10","1,4,0,0,0,0,0,0","Evaluate, Gamble, Gossip, Haggle, Intimidate, Perception, Sleight of Hand","Dealmaker or Streetwise, Strike to Stun, Super
Numerate","Bone Picker, Burgher, Cat Burglar, Grave Robber, Innkeeper, Racketeer, Smuggler, Steward, Thief, Tomb Robber","Charlatan, Crime Lord, Master Thief, Racketeer"
Flagellant,"Flagellants are crazed religious fanatics who barely care if they live or die, so long as they can strike a blow against Chaos and all that they perceive as vile before they go. They are often remarkablly charismatic individuals who lead other broken souls, as the force of their personality and their strong religious convictions draw others to them. Flagellants always wield massive weapons, the better to smite their enemies, and eschew the use of armour, feeling that their Gods will protect them until the proper time to die has come. Saner folk tend to actively avoid their company.","15,0,10,15,5,0,20,10","1,6,0,0,0,0,0,0","Academic Knowledge (Theology), Charm, Heal, Intimidate, Speak Language (Classical)","Fearless, Specialist Weapon Group (Flail or Two- handed Weapon), Strike Mighty Blow","Anointed Priest, Friar, Priest, Zealo","Demagogue, Interrogator, Priest, Soldier, Veteran"
Friar,"Friars are mendicants who wander the Empire teaching religious virtue by example. Their orders date back to the time of Magnus the Pious. A Witch Hunter, Berndt of Wurtbad, was a particular foe of the cults of Slaanesh, the Chaos God of Sensuality and Pleasure. Berndt saw how decadence and lust lead inexorably to the embrace of Slaanesh. After years of blood and fire, Berndt laid aside his sword and torch, gave away his possessions, and began to walk the roads of the Empire preaching a message of poverty, chastity, and obedience. He wore nothing but a hair shirt and lived off the charity of the common folk. His fervent belief was that a humble life of poverty was the surest way to fight the insidious seduction of Chaos. The Order of St. Berndt was the first mendicant order of the Empire, though several others have sprung up since. ","10,0,5,10,0,15,15,15","0,4,0,0,0,0,0,0","Academic Knowledge (Theology), Animal Care, Common Knowledge (any two), Heal, Outdoor Survival, Perception, Speak Language (Breton, Estalian, Kislevian, or Tilean), Speak Language (Classical), Speak Language (Reikspiel)",Seasoned Traveller,"Demagogue, Initiate, Physician, Scholar, Vagabond, Zealot","Demagogue, Flagellant, Priest, Scholar"
Ghost Strider,"Nearly supernaturally silent and fleet of foot, Ghost Striders roam over the Old World seeking out the forces of Chaos and various other threats to the natural world. They are most at home in the forest, though they can readily pass unseen over mountains and other terrain if need be. Ghost Striders are deadly archers, famed for never missing their targets. They are usually either softspoken or taciturn and considered to be both odd and intimidating, even by their own people. They are often more comfortable with the natural world than they are around other sentient beings.","20,30,15,15,25,20,20,0","2,6,0,0,0,0,0,0","Concealment, Dodge Blow, Follow Trail, Intimidate, Lip Reading, Navigation, Outdoor Survival, Perception, Secret Language (Ranger Tongue), Secret Signs (Ranger), Set Trap, Shadowing, Silent Move","Hardy or Fleet Footed, Lightning Parry, Mighty Shot, Quick Draw, Rapid Reload, Sure Shot",Scout,"Captain, Outlaw Chief, Targeteer, Vampire Hunter"
Giant Slayer,"There are many Troll Slayers who wish to find death, but secretly fear it. There are others, however, who are just too ferocious to readily die. These rare few become Giant Slayers: obsessed Dwarfs who have found that not even Trolls could offer a sufficient enough challenge to give them the glorious ending they crave. They continue to seek out combat and a proper death wherever they go, many of them becoming morose drinkers when they aren’t in the midst of battle. Giant Slayers continue to sport the spiky orange Slayer crest, but they tend to be covered with far more tattoos.","25,0,15,10,0,20,0","1,6,0,0,0,0,0,0","Common Knowledge (any one), Consume Alcohol, Dodge Blow, Intimidate, Perception","Fearless, Resistance to Poison, Specialist Weapon Group (Flail), Strike to Injure",Troll Slayer,Daemon Slayer
Guild Master,"Guild Masters are some of the most influential people in the Old World, quietly dictating how commerce is to work in various areas and facilitating the flow of trade. Among their ranks are master Merchants and calculating thieves, all of whom play a subtle game with the Nobles for power and control. Guild Masters are seldom great warriors, as they have many others at their beck and call to handle such things for them. Rather they are quasi-statesmen who deal with the Politicians of the Empire on their own terms. Depending on what guild they control, Guild Masters may be treated with the utmost respect or grudging civility.","10,10,0,10,15,30,20,35","1,5,0,0,0,0,0,0","Academic Knowledge (History), Charm, Command, Common Knowledge (the Empire), Evaluate, Gossip, Haggle, Perception, Secret Language (Guild Tongue), Speak Language (Breton, Estalian, Kislevian, or Norse), Speak Language (Reikspiel), Trade (any two)","Dealmaker, Etiquette, Linguistics","Artisan, Engineer, Merchant, Physician, Wizard Lord","Crime Lord, Politician, Racketeer"
Herald,"Heralds are the voices of the nobility, dutybound to announce the arrival of their lords and patrons, or who occasionally carry news of important events from afar. They are inevitably skilled speakers, swift wits, and greatly educated for the times. Heralds are expected to recognize the heraldry of hundreds of Nobles on sight, hence their namesake. They are seldom Nobles themselves, but their position is regarded as one of the few that acts as a stepping- stone into the ranks of the lesser nobility. Heralds pride themselves on their personal appearance, as it is a reflection upon whichever lord they serve.","10,10,5,5,15,15,10,20","0,4,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry), Academic Knowledge (History), Blather, Charm, Common Knowledge (Bretonnia, Kislev, or Tilea), Common Knowledge (the Empire), Evaluate, Gossip, Haggle, Perception, Read/Write, Ride, Speak Language (Breton, Kislevian, or Tilean), Speak Language (Reikspiel)","Etiquette, Master Orator, Public Speaking","Messenger, Valet","Agitator, Courtier, Entertainer, Explorer, Politician, Squire"
High Priest,"A High Priest is the living embodiment of his God’s will in the Old World. They are fairly rare, as few individuals have both the strength of character and the boundless faith it takes to reach such a lofty post. High Priests, with very few exceptions, will operate out of one of the primary centres of their faith. Pilgrims will travel the breadth of the Empire just to speak for a few moments with such a being. High Priests tend to either reject the physical world, retiring to a monastery or embrace the temporal, becoming powerful secular leaders.","20,20,15,15,15,20,30,25","1,6,0,0,0,3,0,0","Academic Knowledge (any three), Academic Knowledge (Theology), Channelling, Charm, Common Knowledge (any two), Gossip, Heal, Intimidate, Magical Sense, Ride or Swim, Speak Arcane Language (Magick), Speak Language (any three)","Aethyric Attunement or Meditation, Armoured Casting or Mighty Missile, Etiquette, Fast Hands or Strong-minded, Lesser Magic (any two",Anointed Priest,"Politician, Scholar, Witch Hunter"
Highwayman,"Highwaymen prey on the coaches that roam over the roads of the Old World, relieving lockboxes of their goods and passengers of their valuables. They affect the styles of the upper nobility, wearing elaborate masks and showing every point of etiquette to their victims, as they prefer to regard themselves as daring rogues rather than high-class Thieves. Highwaymen, by necessity, are skilled horsemen, adept at convincing their horses to race over uneven and treacherous ground at high speeds. They are also excellent shots, as they have to contend not only with swiftly moving targets, but a large number of dangerous forest denizens as well.","20,20,10,10,30,20,15,25","1,4,0,0,0,0,0,0","Animal Care, Animal Training, Charm, Common Knowledge (the Empire), Evaluate, Gossip, Ride, Silent Move","Ambidextrous, Etiquette, Master Gunner, Mighty Shot, Sharpshooter, Specialist Weapon Group (Fencing), Specialist Weapon Group (Gunpowder), Swashbuckler, Trick Riding","Coachman, Duellist, Estalian Diestro, Ferryman, Minstrel, Outlaw, Outrider, Roadwarden, Toll Keeper","Agitator, Duellist, Master Thief, Outlaw Chief, Sergeant"
Innkeeper,"Innkeepers own and run the establishments that allow the economy of the Old World to flourish. Many innkeeping families have owned their establishment for generations. They cater to all customers, regardless of social class, so long as they can pay. In a time when the majority of folk are insular, Innkeepers have learned information is valuable and they’re usually good for news from afar. A number of Innkeepers supplement their incomes by making introductions between customers. This varies from finding agreeable companionship for their guests to putting interested parties in contact with those who can permanently remove troublemakers with no questions asked","10,5,5,10,20,10,10,20","0,4,0,0,0,0,0,0","Blather or Lip Reading, Charm, Common Knowledge (the Empire), Consume Alcohol, Evaluate, Gossip, Haggle, Perception, Read/Write or Sleight of Hand, Speak Language (Breton, Kislevian, Reikspiel or Tilean), Trade (Cook)","Etiquette or Streetwise, Dealmaker or Street Fighting, Strike to Stun","Burgher, Servant","Burgher, Fence, Merchant, Outlaw, Smuggler"
Interrogator,"Interrogators know how to make people talk. They use both psychological and physical methods to extract information from their charges and neither is very pleasant. Interrogators work for Witch Hunters and Nobles and sometimes for the more zealous churches. They pride themselves on their efficiency, though many achieve it with excessive brutality. The best Interrogators know that discovering the truth is an art form. People lie and obfuscate and will say nearly anything to make the pain stop. Getting a confession is easy; getting to the truth is altogether more difficult. ","15,0,20,10,10,10,20,15","0,4,0,0,0,0,0,0","Charm, Heal, Intimidate, Perception, Torture","Menacing, Specialist Weapon Group (Flail), Wrestling","Entries: Barber-Surgeon, Bodyguard, Flagellant, Jailer, Thug","Physician, Racketeer, Thie"
Journeyman Wizard,"Human Journeymen Wizards have completed their apprenticeship and joined an Order of Wizardry. They now have access to all the spells of their chosen lore, but they must balance their newfound powers with their faltering ability to control them. The majority of Journeymen owe considerable teaching fees to their College, and must adventure to repay their debt. Journeymen Wizards hire out their services, often at their Orders’ request, for gold, knowledge and political betterment of their College. Elves, of course, are exempt from the College system, and owe nothing.","5,5,0,5,10,20,25,10","0,3,0,0,0,2,0,0","Academic Knowledge (Magic), Academic Knowledge (any one), Channelling, Charm or Intimidate, Common Knowledge (any two), Gossip, Magical Sense, Read/Write, Ride or Swim, Speak Arcane Language (Magick), Speak Language (any two)","Arcane Lore (any one) or Dark Lore (any one), Aethyric Attunement or Dark Magic, Fast Hands or Very Resilient, Lesser Magic (any two), Meditation or Mighty Missile",Apprentice Wizard,"Charlatan, Master Wizard, Scholar"
Judical Champion,"A number of Old World countries legally allow a defendant to proof his innocence via trial by combat. The accused are usually pitted against the local Judicial Champion, a professional fighter who specializes in defeating a single opponent swiftly and efficiently. Many of the laws that allow such combats state that specific weapons must be used; meaning Judicial Champions are well versed with a wide variety of arms. Correspondingly, Judicial Champions are both respected and feared warriors, whose prowess often precedes them. Noble defendants and the wealthy may sometimes be capable of hiring a Judicial Champion to fight in their place","35,0,15,20,10,15,0","2,6,0,0,0,0,0,0","Dodge Blow, Perception","Lightning Parry, Specialist Weapon Group (Fencing), Specialist Weapon Group (Flail), Specialist Weapon Group (Parrying), Specialist Weapon Group (Two-handed)","Sergeant, Veteran","Assassin, Champion, Sergeant, Witch Hunter, Zealot"
Knight,"Knights are professional Soldiers, generally, but not always of Noble blood. They specialize in fighting in heavy armour while using large weapons, often from horseback, and comprise a general’s most elite shock troops. Many Knights have a duty to protect the lower classes, though not all of them acknowledge it. There are a large number of knightly orders hailing from both the Empire and Bretonnia, such as the Knights of the White Wolf, the Knights Panther, the Reiksgard Knights, and the Grail Knights. Religious orders of Knights are known as templars. ","25,0,15,15,15,5,15,5","1,4,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry or Religion), Academic Knowledge (Strategy/Tactics), Dodge Blow, Perception, Ride, Secret Language (Battle Tongue), Speak Language (any two)","Specialist Weapon Group (Cavalry), Specialist Weapon Group (Flail), Specialist Weapon Group (Two-handed), Strike Mighty Blow","Noble Lord, Pistolier, Sergeant, Squire, Vampire Hunter","Captain, Initiate, Knight of the Inner Circle, Noble Lord, Vampire Hunter"
Knight Of The inner Circle,"Within each knightly order there are those who rise to the top, the best of the best. They have proven themselves valiant and loyal time and time again and for that they are brought into the inner circle of the order. They command Knights in the field, represent the order at court, and make the important decisions. They are some of the greatest warriors the Old World has to offer and many of them have been entrusted with dangerous secrets about the foundations of their group. Each one of them aspires to become the Grand Master of his order. That is the pinnacle of knighthood.","35,10,20,20,20,15,25,15","2,8,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry or Religion), Academic Knowledge (Strategy/Tactics), Animal Training, Charm, Command, Common Knowledge (any three), Dodge Blow, Perception, Read/ Write, Ride, Secret Language (Battle Tongue), Secret Signs (Scout or Templar), Speak Language (Breton, Estalian, Kislevian, or Tilean)","tiquette, Lightning Parry, Seasoned Traveller, Specialist Weapon Group (Fencing), Specialist Weapon Group (Parrying), Stout-hearted, Strike to Injure, Strike to Stun","Knight, Witch Hunter","Captain, Champion, Noble Lord, Witch Hunter"
Master Thief,"In every profession there are those who rise to the top. Master Thieves are the grand artistes of the criminal world. They are the best Thieves there are, proficient in all the skills that it takes to illegally acquire the goods of others. Master Thieves are usually a part of the local Thieves’ Guild structure, but as bravos who regularly flout the law, many of them are content to operate, ironically enough, “illegally”, e.g. without the approval of the local Crime Lord. The Empire has a long tradition of secretly admiring bold Thieves, though they will still be punished if caught.","20,20,10,10,40,25,20,25","1,6,0,0,0,0,0,0","Charm, Concealment, Disguise, Dodge Blow, Evaluate, Gamble or Lip Reading, Gossip, Perception, Pick Lock, Read/Write, Scale Sheer Surface, Secret Language (Thieves’ Tongue), Secret Signs (Thief), Search, Silent Move, Sleight of Hand, Swim","Specialist Weapon Group (Crossbow), Specialist Weapon Group (Throwing), Street Fighting or Swashbuckler, Streetwise, Trapfinder","Cat Burglar, Crime Lord, Fence, Highwayman, Racketeer, Spy","Crime Lord, Explorer, Outlaw Chief, Targeteer"
Master Wizard,"A Master Wizard is one who wields magic with surety and finesse. Elf Wizards find this level of spell casting easy to attain, but for a Human, it is a life’s work. By the time they reach this level of mastery, most Wizards begin to exhibit eccentricities and physical changes wrought by close association with magic. Master Wizards usually prefer to spend their time researching or politicking with fellow magisters. However, their Order usually requires them to adventure in the world at large, furthering the cause of their art, and seeking out young folk to apprentice.","10,10,0,10,15,30,35,15","0,4,0,0,0,3,0,0","Academic Knowledge (Magic), Academic Knowledge (any two), Channelling, Charm or Intimidate, Common Knowledge (any two), Gossip or Ride, Magical Sense, Read/Write, Speak Arcane Language (Magick), Speak Arcane Language (Daemonic or Arcane Elf), Speak Language (any three)","Aethyric Attunement or Meditation, Dark Magic or Strong-minded, Fast Hands or Mighty Missile, Lesser Magic (any two)",Journeyman Wizard,"Explorer, Scholar, Wizard Lord"
Mate,"Mates serve on ships as the second in command, answering directly to the Captain of the vessel. They are responsible for ensuring that the Captain’s orders are carried out, which can be a trying task with even the most professional of crews. Mates have to be stern but fair, earning the respect of their crew or they will swiftly find themselves the butt of many practical jokes and far worse if a mutiny should occur. Mates are always experienced sailors, often with several voyages under their belt and there are few ports they haven’t drank, fought, or caroused in.","15,15,10,15,10,10,10,10","1,4,0,0,0,0,0,0","Command, Common Knowledge (any two), Consume Alcohol, Dodge Blow, Gamble, Gossip, Intimidate, Row, Sail, Speak Language (Breton, Kislevian, or Norse), Swim, Trade (Shipwright)","Resistance to Disease, Seasoned Traveller, Street Fighting","Marine, Seaman","Explorer, Merchant, Navigator, Sea Captain"
Merchant,"Merchants are speculators who arrange to move large amounts of goods from city to city, seeking the market that they will make the most handsome profit in. They seldom interact with the populace as they deal in bulk, generally selling their goods to Burghers and Tradesmen. Merchant Guilds are extremely influential in the Empire and they are slowly usurping the position once held by Nobles in the Old World. Even the poorest Merchant tends to be very wealthy, indeed, many use their wealth to buy legitimacy, purchasing titles or marrying their children into Noble families.","10,10,5,5,10,25,20,20","0,4,0,0,0,0,0,0","Charm, Common Knowledge (any two), Drive, Evaluate, Gossip, Haggle, Read/Write, Ride, Secret Language (Guild Tongue), Speak Language (Breton, Estalian, Kislevian, or Norse), Speak Language (Reikspiel), Trade (Merchant)","Dealmaker or Streetwise, Super Numerate","Artisan, Burgher, Captain, Envoy, Explorer, Fisherman, Innkeeper, Mate, Scholar, Steward, Tradesman","Guild Master, Militiaman, Politician, Racketeer, Spy"
