Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Estalian Diestro,"The Estalian Kingdoms are southwest of the Empire. There the threat of Chaos seems remote. The Chaos Wastes are quite distant from this sunny land, which has never witnessed the wrath of bloodthirsty hordes the way the Empire and Kislev have. Its people engage in other pursuits, from science and scholarship to crime and vendetta. One thing Estalians dearly love is swordplay. Its cities sport many fencing schools, each with its own style. Many of these styles are descended from the teachings of Master Figueroa, a legendary swordsman who applied the latest scientific theories to his swordplay with spectacular results. Followers of the Figueroa style, known as Diestro, fight and duel across Estalia. Some, bored with their homeland, seek excitement elsewhere, favouring Tilea and Bretonnia. The bravest travel northeast to the Empire to test their rapiers against worthy opponents, and to see a land in the front line of the struggle against Chaos.","15,0,5,5,10,5,0,0","1,2,0,0,0,0,0,0","Academic Knowledge (Science), Common Knowledge (Estalia), Dodge Blow, Read/Write, Speak Language (Estalian)","Lightning Reflexes or Swashbuckler, Quick Draw or Strike to Injure, Specialist Weapon Group (Fencing), Strike Mighty Blow",,"Bodyguard, Duellist, Highwayman, Protagonist, Rogue"
Ferryman,"Rivers both large and small cut through the Empire. While a few are shallow enough to ford easily, most require transport to cross safely. Ferrymen make their living moving people and goods across the Empire’s rivers, for a fee of course. They favour flat-bottomed barges because they have a shallow draft and plenty of deckspace. Ferrymen in more remote areas also favour the blunderbuss. Bandits are a constant danger and the blunderbuss provides not-so-subtle encouragement to move along. Many Ferrymen are also extortionists of the highest order, arbitrarily changing their prices based on the apparent wealth and desperateness of their passengers.","5,5,10,5,5,5,0,0","0,2,0,0,0,0,0,0","Charm, Common Knowledge (the Empire), Evaluate or Secret Language (Ranger Tongue), Gossip or Intimidate, Haggle, Perception, Row, Swim","Marksman or Suave, Specialist Weapon Group (Gunpowder) or Street Fighting","Coachman, Smuggler, Toll Keeper","Boatman, Highwayman, Roadwarden, Seaman, Smuggler"
Fieldwarden,"To outsiders the Moot looks like a safe and happy land. The extent to which that’s true is due to the Fieldwardens. These Halflings patrol the borders of the Moot, keeping away threats and unwanted outsiders. They are skilled skirmishers who use their intimate knowledge of the Moot to maximum advantage. They prefer to attack from ambush, using their superior skill with missile weapons to neutralize the size advantage of their foes. Since the Moot shares a border with Sylvania, the Fieldwardens have particular expertise in dealing with the living dead. More than one band of zombies has been brought down by a fusillade of slingstones from determined Fieldwardens. ","5,10,0,5,10,0,10,0","0,2,0,0,0,0,0,0","Academic Knowledge (Necromancy) or Common Knowledge (the Empire), Concealment, Follow Trail, Outdoor Survival, Perception, Search, Silent Move","Fleet Footed or Savvy, Mighty Shot or Rapid Reload, Rover or Quick Draw","Hunter, Militiaman, Toll Keeper","Bounty Hunter, Mercenary, Scout, Vagabond, Vampire Hunter"
Fisherman,"Fishermen seek the bounty of the sea. The many villages on Nordland’s coastline are home to countless Fishermen. These hearty souls brave the Sea of Claws in small craft, despite the constant threat of pirates and raiders from Norsca. There are also some fishing communities inland, by lakes and rivers, though these villages also pursue agriculture. Fishermen are an independent lot as a matter of course. They work in small crews, and when on the water every decision is their own. This spirited nature is one reason why dockside taverns are always unruly. Note: During character creation, if you take Common Knowledge (the Wasteland), your character can be from the great port of Marienburg at your option.","0,5,10,5,10,5,0,0","0,2,0,0,0,0,0,0","Common Knowledge (the Empire or the Wasteland), Consume Alcohol or Haggle, Navigation or Trade (Merchant), Outdoor Survival, Perception, Row, Sail, Speak Language (Reikspiel or Norse), Swim","Hardy or Savvy, Orientation or Street Fighting","Boatman, Peasant","Marine, Merchant, Militiaman, Navigator, Seaman"
Grave Robber,"Grave Robbers make their living among the dead. Both medical and magical professions create a constant demand for fresh corpses, some for study, others for more sinister purposes. Obtaining such corpses legally is quite difficult, so Physicians and Wizards both have come to rely on Grave Robbers. It is a loathsome profession, but a profitable one. The freshest corpses can command exorbitant prices. The risks of this line of work are substantial. Watchmen, Priests of Morr (the God of Death), and Witch Hunters all keep careful watch of graveyards and punish interlopers harshly. ","5,5,5,0,10,0,10,0","0,2,0,0,0,0,0,0","Drive, Gossip or Haggle, Perception, Scale Sheer Surface, Search, Secret Signs (Thief), Silent Move","Flee!, Resistance to Disease, Streetwise or Strong- minded","Barber-Surgeon, Bone Picker, Rat Catcher","Cat Burglar, Fence, Rat Catcher, Student, Thief"
Hedge Wizard,"Hedge Wizards are magically talented people with no formal magical training. Using instinct, luck, and superstitious trappings, they can perform minor, specialized spells. Though they may not always be aware of it, Hedge Wizards dally with danger every time they use their charms and cantrips. For this reason the Witch Hunters eagerly track and execute these unfortunate folk who all too often unconsciously invite daemons and disaster into the world. Some Hedge Wizards take the sensible route and join the Orders of Magic, whilst others hide their shameful secret.","0,0,0,5,5,5,10,10","0,2,0,0,0,0,0,0","Animal Care or Haggle, Charm or Intimidate, Channelling, Charm Animal or Trade (Apothecary), Heal or Hypnotism, Magical Sense, Perception, Search","Hedge Magic, Petty Magic (Hedge)",,"Apprentice Wizard, Charlatan, Initiate, Outlaw, Vagabond"
Hunter,"While the Empire has come far from the tribes that founded it 2500 years ago, some things haven’t changed at all. Although Peasants till parts of the land, huge expanses of the Empire are still covered with forest or are hostile to agriculture. These are the lands where Hunters and trappers thrive. They use the same techniques as their ancestors to take down game, be it a trap or a well- placed shot. It takes skill to stalk wild animals while avoiding the dark creatures of the woods. Hunters in their animal skin clothes and fur hats may appear uncouth to city folks, but they don’t much care what others think of them.","0,15,0,5,10,5,0,0","0,3,0,0,0,0,0,0","Concealment, Follow Trail, Outdoor Survival, Perception, Search or Swim, Secret Signs (Ranger), Silent Move or Set Trap","Hardy or Specialist Weapon Group (Longbow), Lightning Reflexes or Very Resilient, Marksman or Rover, Rapid Reload","Charcoal-Burner, Kithband Warrior, Woodsman","Bounty Hunter, Charcoal-Burner, Fieldwarden, Kithband Warrior, Miner, Scout, Soldier, Targeteer"
Initiate,"Religion has taken second place to money in the affections of many Old Worlders, but there are still many young men and women willing to devote their lives to the Gods. It takes great dedication and training to become a Priest. Initiates are Priests- in-training. They undergo harsh instruction under strict teachers, and until they are finished they are not allowed to preach or conduct services. Their training includes literacy and calligraphy, the study of scriptures, and the art of the sermon. They also learn the basics of weapon use so the temple can be defended in times of need","5,5,0,5,0,10,10,10","0,2,0,0,0,0,0,0","Academic Knowledge (Astronomy or History), Academic Knowledge (Theology), Charm, Heal, Perception, Read/ Write, Speak Language (Classical), Speak Language (Reikspiel)"," Lightning Reflexes or Very Strong, Public Speaking, Suave or Warrior Born","Hedge Wizard, Knight, Scribe, Student, Vampire Hunter, Witch Hunter, Zealot","Barber-Surgeon, Demagogue, Friar, Priest, Scribe, Zealot"
Jailer,"The Empire is a nation of laws, which means it’s also a nation of jails. Despite the best efforts of the clergy of Verena, the Goddess of Justice, the innocent are just as likely as the guilty to end up in jail. Better too harsh than too lax is the opinion of the law. Imperial jails are foul dungeons that smell equally of fear and excrement. Jailers preside over these institutions, using a combination of brutality and humiliation to keep order. Jailers generally have no sense of justice or pity, and are seldom swayed by pleas or speeches (though bribes are gladly accepted). The worst are outright sadists, delighting in the power they hold over their charges","10,0,10,10,0,0,5,0","0,3,0,0,0,0,0,0","Command, Consume Alcohol, Dodge Blow, Heal or Sleight of Hand, Intimidate, Perception, Search","Resistance to Disease, Resistance to Poison, Specialist Weapon Group (Entangling), Wrestling","Bodyguard, Rat Catcher","Bailiff, Bodyguard, Interrogator, Rat Catcher, Watchman"
Kislevite Kossar,"Originally, the Kossars were an Ungol tribe that lived northeast of the Empire. An eastern people known as the Gospodars invaded this region, subjugated the Ungols, and founded the nation of Kislev. During this conflict, the Kossars sold their skills to the Gospodars as Mercenaries, fighting against other Ungol tribes. Their unique style of fighting impressed the Gospodar nobility, and since that time Kossar regiments have served the Tzars of Kislev. These days the Kossars are no longer a tribe, but a tough military unit drawn from all over Kislev. They are armed with bows and great axes, making them quite flexible on the battlefield. Many Kossars, tired of the ceaseless warfare of their native land, travel to the Empire to become Mercenaries or adventurers.","10,10,0,10,0,0,10,0","0,2,0,0,0,0,0,0","Common Knowledge (Kislev), Consume Alcohol, Dodge Blow, Gamble or Gossip, Outdoor Survival, Perception, Search, Speak Language (Kislevian)","Specialist Weapon Group (Two-handed), Strike to Injure",,"Bounty Hunter, Mercenary, Sergeant, Shieldbreaker, Veteran"
Kithband Warrior,"Some Elves live in secluded glades deep inside the great forests. As the taint of Chaos has become worse, these Elven lands have declined. Within the Empire few Elven communities are left, the largest being in Laurelorn. Beneath the boughs of the forest the Elves fight a hidden battle with Beastmen and other foul creatures. Small units of warriors, known as Kithbands, take the fight to the enemy. As their name indicates, Kithbands are made up of Elves from related family groups and they fight under their clan emblems. These skilled bowmen protect the Elf settlements from the dark things of the wood. Every bow is needed to stave off the destruction of the remaining Elf lands of the Empire","5,5,0,0,10,10,5,0","0,2,0,0,0,0,0,0","Concealment, Dodge Blow, Follow Trail, Heal or Search, Outdoor Survival, Perception, Scale Sheer Surface, Silent Move","Marksman or Rover, Rapid Reload or Warrior Born","Hunter, Messenge","Hunter, Outrider, Scout, Vagabond, Veteran"
Marine,"Marines are ship-borne soldiers who can be found in the Imperial fleet and onboard the larger private vessels. They protect their ships from pirates, Norse marauders, and other raiders. Unlike seamen, whose primary duty is sailing the ship, Marines are onboard only to fight. When in port, Marines frequently form press gangs to fill out the ship’s crew. More than one unsuspecting citizen has awoken at sea after taking a belaying pin to the head from an overzealous press ganger. Due to these activities, and their own drunken brawling, Marines are resented in many seaside communities. When raiders attack, however, these same citizens are quick to accept the aid of battle-hardened Marines. ","10,10,10,0,5,0,5,0","1,3,0,0,0,0,0,0"," Common Knowledge (the Wasteland) or Gamble, Consume Alcohol, Dodge Blow, Gossip or Secret Language (Battle Tongue), Intimidate, Row, Swim","Disarm or Quick Draw, Strike Mighty Blow, Strike to Stun","Boatman, Fisherman, Seaman","Mate, Outlaw, Sergeant, Smuggler, Thug"
Mercenary,"War never ends in the Old World and that means there is always need for fighting men. While the Empire does maintain a standing army, its strength is bolstered with Mercenaries. Nobles and rich Merchants also hire such fighters to protect their interests, many having what amounts to private armies. Mercenaries range from wild youths with a taste for adventure to grizzled professional soldiers who’ve seen a dozen battles or more. These sell-swords come from all over, though Tilea is particular famed for its regiments. All Mercenaries dream of untold riches; for most of them, the reality is an early death and an unmarked grave. ","10,10,5,5,5,0,5,0","1,2,0,0,0,0,0,0","Animal Care or Gamble, Common Knowledge (Bretonnia, Kislev, or Tilea), Dodge Blow, Drive or Ride, Gossip or Haggle, Perception or Search, Secret Language (Battle Tongue), Speak Language (Tilean) or Swim","Disarm or Quick Draw, Rapid Reload or Strike Mighty Blow, Sharpshooter or Strike to Stun","Bodyguard, Bounty Hunter, Demagogue, Fieldwarden, Kislevite Kossar, Militiaman, Miner, Norse Berserker, Outrider, Pit Fighter, Soldier, Thug, Watchman","Bodyguard, Bounty Hunter, Outlaw, Sergeant, Shieldbreaker, Veteran"
Messenger,"With great distances separating the important cities and castles of the Empire, Messengers are an indispensable means of communication. Nobles, Merchants, and military commanders all make extensive use of Messengers, mounted if possible. These brave riders dare to ride the roads of the Empire alone, trusting in their speed to avoid danger. Roadwardens assist official Messengers as much as possible, but there are long, lonely stretches where no help is available. While they are supposed to be immune from harassment, many a Messenger has met a bloody end after delivering a particularly unpleasant missive. ","5,5,0,5,10,5,5,0","0,2,0,0,0,0,0,0","Animal Care, Common Knowledge (the Empire or the Wasteland) or Gossip, Navigation, Outdoor Survival, Secret Signs (Scout), Perception, Ride, Speak Language (Reikspiel), Swim","Orientation, Seasoned Traveller","Militiaman, Roadwarden, Servant","Coachman, Herald, Kithband Warrior, Outrider, Roadwarden, Scout, Soldie"
Militiaman,"Militias are part-time local defence forces, formed largely from the rural peasantry. Members agree to spend a certain amount of time each year—usually seven days—practicing together on common land. Even this small amount of training can be the difference between life and death on the blood-soaked battlefields of the Old World. Militia Captains are either civil leaders or retired military types. Some militias must provide their own equipment, while the local nobility equips others. This means that while some militia units appear for duty in smart uniforms with well-maintained equipment, others have little more than their patchwork clothes and hunting bows. ","10,5,5,5,10,0,0,0","0,2,0,0,0,0,0,0","Animal Care, Dodge Blow, Drive or Swim, Gamble or Gossip, Outdoor Survival, Perception, Search, Trade (any one)","Specialist Weapon Group (Two-handed) or Rapid Reload, Strike Mighty Blow","Artisan, Bailiff, Burgher, Fisherman, Merchant, Peasant, Tradesman, Woodsman","Artisan, Fieldwarden, Mercenary, Messenger, Outlaw, Sergeant, Thie"
Miner,"Mountains surround the Empire. To the east are the World’s Edge Mountains, to the south the Black Mountains, and to the west the Grey Mountains. Dwarfs and Humans have mined these mountains from time immemorial, despite constant attacks from Goblins and other subterranean horrors. Miners brave these conditions in search of iron, silver, gold, gems, and other valuables. Others prefer to prospect on the surface, particularly in the Middle Mountains, which straddle the provinces of Ostland and Hochland. Although these forest-shrouded mountains are fully within the Empire’s borders, they are a haven for Trolls, Beastmen, and other foul creatures. Surviving in such an environment takes skill and toughness. ","5,5,10,5,0,5,5,0","0,2,0,0,0,0,0,0","Animal Care, Concealment or Drive, Evaluate or Outdoor Survival, Navigation, Perception, Scale Sheer Surface, Trade (Miner or Prospector)","Orientation, Specialist Weapon Group (Two-handed), Very Resilient or Warrior Born","Charcoal-Burner, Hunter","Charcoal-Burner, Engineer, Mercenary, Scout, Shieldbreaker, Smuggler"
Noble,"The Nobles are the ruling class of the Empire. They wield the power, they control the land, and they make the laws. The most important Noble families are those of Imperial Electors and of course the Emperor himself. There are hundreds of others though, and they all vie for more money and more power. Some seek their fortunes in war, others in business or politics. None would sully themselves by practicing a common trade. The most contemptible Nobles do nothing at all, merely live off their family wealth and attend an endless array of parties, dances, and gala events. The younger children of Noble houses, however, do not have it so easy. Since inheritance goes to the eldest, they must often make their own way in the world, even if it means slumming amongst the lower classes and falling in with adventurers and ne’er-do-wells.","10,5,0,0,5,5,5,10","0,2,0,0,0,0,0,0","Blather or Command, Common Knowledge (the Empire), Consume Alcohol or Performer (Musician), Charm, Gamble or Gossip, Read/Write, Ride, Speak Language (Reikspiel","Etiquette, Luck or Public Speaking, Savvy or Specialist Weapon (Fencing), Schemer or Specialist Weapon (Parrying)","Squire, Steward","Courtier, Pistolier, Politician, Rogue, Squire, Student"
Norse Berserker,"Norsca is a grim northern land, full of fell beasts such as Ice Trolls and Chaos Spawn, and it breeds tough fighters. The berserkers are a rightly feared warrior cult. Its members go into battle without armour to prove they have no fear. They work themselves into an incredible rage, often biting on their own shields. Their feats fill the sagas and loom large in the stories of those Imperial soldiers that have faced them. Some few berserkers make their way to the Empire because they’ve been exiled or simply have a desire to see more of the world. They rarely stay in one place for long, since no Watchman wants a frothing lunatic disturbing the peace. Berserkers are highly prized Mercenaries, however, due to their rarity and effectiveness.","15,0,10,10,0,0,10,0","0,2,0,0,0,0,0,0","Common Knowledge (Norsca), Consume Alcohol, Intimidate, Performer (Storyteller), Speak Language (Norse), Swim","Frenzy, Menacing, Quick Draw, Specialist Weapon Group (Two-handed)",,"Mercenary, Pit Fighter, Seaman, Sergeant, Veteran"
Outlaw,"Imperial justice is swift and merciless. It is no wonder then that so many flee the watch and take on the life of the Outlaw. The hills and forests are full of Outlaw bands. It is a precarious existence, as they must deal not only with Roadwardens, Soldiers, and other agents of law, but also the dark denizens of the wilds. While many Outlaws are nothing more than common thieves, robbing coaches and caravans, others claim to champion the peasantry and fight for “justice not law.” As long as the Outlaws confine their attacks to the rich, the Peasants aid them with food, information, and places to hide. This support, and the rough terrain Outlaws use for their bases, makes them difficult for the state to deal with. Local Nobles often resort to the use of Bounty Hunters to end their bandit troubles.","10,10,0,0,10,5,0,0","1,2,0,0,0,0,0,0","Animal Care or Common Knowledge (the Empire), Concealment, Dodge Blow, Drive or Ride, Gossip or Secret Signs (Thief), Perception, Scale Sheer Surface, Set Trap or Swim, Silent Move","Rover or Streetwise, Sharpshooter or Strike to Stun","Agitator, Charlatan, Coachman, Hedge Wizard, Innkeeper, Marine, Mercenary, Militiaman, Peasant, Roadwarden, Rogue, Squire, Toll Keeper, Woodsman, Zealot","Demagogue, Highwayman, Thief, Vagabond, Veteran"
